orig_path,proc_path,subject,label,split
data\raw\Sub1\Eyeclose\220.jpg,data\processed\eyeclose\Sub1_220.png,Sub1,eyeclose,train
data\raw\Sub3\Eyeclose\3483.jpg,data\processed\eyeclose\Sub3_3483.png,Sub3,eyeclose,train
data\raw\Sub2\Eyeclose\1770.jpg,data\processed\eyeclose\Sub2_1770.png,Sub2,eyeclose,train
data\raw\Sub2\Neutral\1520.jpg,data\processed\neutral\Sub2_1520.png,Sub2,neutral,train
data\raw\Sub2\Happy\1457.jpg,data\processed\happy\Sub2_1457.png,Sub2,happy,train
data\raw\Sub3\Happy\3566.jpg,data\processed\happy\Sub3_3566.png,Sub3,happy,train
data\raw\Sub3\Neutral\2869.jpg,data\processed\neutral\Sub3_2869.png,Sub3,neutral,train
data\raw\Sub1\Neutral\156.jpg,data\processed\neutral\Sub1_156.png,Sub1,neutral,train
data\raw\Sub1\Neutral\12.jpg,data\processed\neutral\Sub1_12.png,Sub1,neutral,train
data\raw\Sub2\Eyeclose\1761.jpg,data\processed\eyeclose\Sub2_1761.png,Sub2,eyeclose,train
data\raw\Sub2\Happy\1446.jpg,data\processed\happy\Sub2_1446.png,Sub2,happy,train
data\raw\Sub1\Eyeclose\222.jpg,data\processed\eyeclose\Sub1_222.png,Sub1,eyeclose,train
data\raw\Sub3\Eyeclose\2937.jpg,data\processed\eyeclose\Sub3_2937.png,Sub3,eyeclose,train
data\raw\Sub1\Neutral\77.jpg,data\processed\neutral\Sub1_77.png,Sub1,neutral,train
data\raw\Sub3\Eyeclose\3478.jpg,data\processed\eyeclose\Sub3_3478.png,Sub3,eyeclose,train
data\raw\Sub1\Eyeclose\216.jpg,data\processed\eyeclose\Sub1_216.png,Sub1,eyeclose,train
data\raw\Sub1\Eyeclose\181.jpg,data\processed\eyeclose\Sub1_181.png,Sub1,eyeclose,train
data\raw\Sub2\Eyeclose\1629.jpg,data\processed\eyeclose\Sub2_1629.png,Sub2,eyeclose,train
data\raw\Sub2\Yawn\1312.jpg,data\processed\yawn\Sub2_1312.png,Sub2,yawn,train
data\raw\Sub3\Eyeclose\3482.jpg,data\processed\eyeclose\Sub3_3482.png,Sub3,eyeclose,train
data\raw\Sub1\Neutral\163.jpg,data\processed\neutral\Sub1_163.png,Sub1,neutral,train
data\raw\Sub2\Neutral\995.jpg,data\processed\neutral\Sub2_995.png,Sub2,neutral,train
data\raw\Sub1\Yawn\478.jpg,data\processed\yawn\Sub1_478.png,Sub1,yawn,train
data\raw\Sub3\Eyeclose\3460.jpg,data\processed\eyeclose\Sub3_3460.png,Sub3,eyeclose,train
data\raw\Sub1\Yawn\481.jpg,data\processed\yawn\Sub1_481.png,Sub1,yawn,train
data\raw\Sub3\Neutral\2903.jpg,data\processed\neutral\Sub3_2903.png,Sub3,neutral,train
data\raw\Sub1\Yawn\469.jpg,data\processed\yawn\Sub1_469.png,Sub1,yawn,train
data\raw\Sub1\Eyeclose\204.jpg,data\processed\eyeclose\Sub1_204.png,Sub1,eyeclose,train
data\raw\Sub1\Eyeclose\319.jpg,data\processed\eyeclose\Sub1_319.png,Sub1,eyeclose,train
data\raw\Sub2\Eyeclose\1656.jpg,data\processed\eyeclose\Sub2_1656.png,Sub2,eyeclose,train
data\raw\Sub2\Eyeclose\1756.jpg,data\processed\eyeclose\Sub2_1756.png,Sub2,eyeclose,train
data\raw\Sub3\Yawn\3221.jpg,data\processed\yawn\Sub3_3221.png,Sub3,yawn,train
data\raw\Sub2\Neutral\1528.jpg,data\processed\neutral\Sub2_1528.png,Sub2,neutral,train
data\raw\Sub1\Neutral\123.jpg,data\processed\neutral\Sub1_123.png,Sub1,neutral,train
data\raw\Sub1\Eyeclose\349.jpg,data\processed\eyeclose\Sub1_349.png,Sub1,eyeclose,train
data\raw\Sub3\Neutral\2837.jpg,data\processed\neutral\Sub3_2837.png,Sub3,neutral,train
data\raw\Sub1\Yawn\496.jpg,data\processed\yawn\Sub1_496.png,Sub1,yawn,train
data\raw\Sub2\Neutral\1024.jpg,data\processed\neutral\Sub2_1024.png,Sub2,neutral,train
data\raw\Sub3\Happy\3577.jpg,data\processed\happy\Sub3_3577.png,Sub3,happy,train
data\raw\Sub3\Happy\3558.jpg,data\processed\happy\Sub3_3558.png,Sub3,happy,train
data\raw\Sub2\Eyeclose\1754.jpg,data\processed\eyeclose\Sub2_1754.png,Sub2,eyeclose,train
data\raw\Sub3\Eyeclose\3462.jpg,data\processed\eyeclose\Sub3_3462.png,Sub3,eyeclose,train
data\raw\Sub2\Eyeclose\1613.jpg,data\processed\eyeclose\Sub2_1613.png,Sub2,eyeclose,train
data\raw\Sub1\Neutral\157.jpg,data\processed\neutral\Sub1_157.png,Sub1,neutral,train
data\raw\Sub1\Eyeclose\814.jpg,data\processed\eyeclose\Sub1_814.png,Sub1,eyeclose,train
data\raw\Sub3\Eyeclose\3455.jpg,data\processed\eyeclose\Sub3_3455.png,Sub3,eyeclose,train
data\raw\Sub1\Yawn\450.jpg,data\processed\yawn\Sub1_450.png,Sub1,yawn,train
data\raw\Sub1\Neutral\74.jpg,data\processed\neutral\Sub1_74.png,Sub1,neutral,train
data\raw\Sub2\Neutral\1007.jpg,data\processed\neutral\Sub2_1007.png,Sub2,neutral,train
data\raw\Sub2\Eyeclose\1636.jpg,data\processed\eyeclose\Sub2_1636.png,Sub2,eyeclose,train
data\raw\Sub2\Neutral\966.jpg,data\processed\neutral\Sub2_966.png,Sub2,neutral,train
data\raw\Sub3\Eyeclose\3524.jpg,data\processed\eyeclose\Sub3_3524.png,Sub3,eyeclose,train
data\raw\Sub3\Happy\3576.jpg,data\processed\happy\Sub3_3576.png,Sub3,happy,train
data\raw\Sub2\Neutral\963.jpg,data\processed\neutral\Sub2_963.png,Sub2,neutral,train
data\raw\Sub3\Eyeclose\3519.jpg,data\processed\eyeclose\Sub3_3519.png,Sub3,eyeclose,train
data\raw\Sub1\Eyeclose\320.jpg,data\processed\eyeclose\Sub1_320.png,Sub1,eyeclose,train
data\raw\Sub2\Yawn\1310.jpg,data\processed\yawn\Sub2_1310.png,Sub2,yawn,train
data\raw\Sub3\Eyeclose\3496.jpg,data\processed\eyeclose\Sub3_3496.png,Sub3,eyeclose,train
data\raw\Sub2\Neutral\1559.jpg,data\processed\neutral\Sub2_1559.png,Sub2,neutral,train
data\raw\Sub2\Eyeclose\1128.jpg,data\processed\eyeclose\Sub2_1128.png,Sub2,eyeclose,train
data\raw\Sub2\Neutral\1012.jpg,data\processed\neutral\Sub2_1012.png,Sub2,neutral,train
data\raw\Sub2\Eyeclose\1688.jpg,data\processed\eyeclose\Sub2_1688.png,Sub2,eyeclose,train
data\raw\Sub1\Neutral\152.jpg,data\processed\neutral\Sub1_152.png,Sub1,neutral,train
data\raw\Sub1\Neutral\22.jpg,data\processed\neutral\Sub1_22.png,Sub1,neutral,train
data\raw\Sub2\Eyeclose\1729.jpg,data\processed\eyeclose\Sub2_1729.png,Sub2,eyeclose,train
data\raw\Sub2\Eyeclose\1103.jpg,data\processed\eyeclose\Sub2_1103.png,Sub2,eyeclose,train
data\raw\Sub2\Eyeclose\1630.jpg,data\processed\eyeclose\Sub2_1630.png,Sub2,eyeclose,train
data\raw\Sub2\Neutral\988.jpg,data\processed\neutral\Sub2_988.png,Sub2,neutral,train
data\raw\Sub2\Eyeclose\1185.jpg,data\processed\eyeclose\Sub2_1185.png,Sub2,eyeclose,train
data\raw\Sub2\Happy\1470.jpg,data\processed\happy\Sub2_1470.png,Sub2,happy,train
data\raw\Sub3\Yawn\3217.jpg,data\processed\yawn\Sub3_3217.png,Sub3,yawn,train
data\raw\Sub2\Neutral\1015.jpg,data\processed\neutral\Sub2_1015.png,Sub2,neutral,train
data\raw\Sub2\Eyeclose\1760.jpg,data\processed\eyeclose\Sub2_1760.png,Sub2,eyeclose,train
data\raw\Sub2\Eyeclose\1642.jpg,data\processed\eyeclose\Sub2_1642.png,Sub2,eyeclose,train
data\raw\Sub2\Neutral\1518.jpg,data\processed\neutral\Sub2_1518.png,Sub2,neutral,train
data\raw\Sub1\Eyeclose\199.jpg,data\processed\eyeclose\Sub1_199.png,Sub1,eyeclose,train
data\raw\Sub3\Eyeclose\2936.jpg,data\processed\eyeclose\Sub3_2936.png,Sub3,eyeclose,train
data\raw\Sub1\Eyeclose\302.jpg,data\processed\eyeclose\Sub1_302.png,Sub1,eyeclose,train
data\raw\Sub1\Eyeclose\816.jpg,data\processed\eyeclose\Sub1_816.png,Sub1,eyeclose,train
data\raw\Sub1\Neutral\137.jpg,data\processed\neutral\Sub1_137.png,Sub1,neutral,train
data\raw\Sub1\Neutral\151.jpg,data\processed\neutral\Sub1_151.png,Sub1,neutral,train
data\raw\Sub2\Eyeclose\1591.jpg,data\processed\eyeclose\Sub2_1591.png,Sub2,eyeclose,train
data\raw\Sub1\Eyeclose\325.jpg,data\processed\eyeclose\Sub1_325.png,Sub1,eyeclose,train
data\raw\Sub2\Neutral\1029.jpg,data\processed\neutral\Sub2_1029.png,Sub2,neutral,train
data\raw\Sub2\Eyeclose\1211.jpg,data\processed\eyeclose\Sub2_1211.png,Sub2,eyeclose,train
data\raw\Sub2\Eyeclose\1113.jpg,data\processed\eyeclose\Sub2_1113.png,Sub2,eyeclose,train
data\raw\Sub1\Eyeclose\174.jpg,data\processed\eyeclose\Sub1_174.png,Sub1,eyeclose,train
data\raw\Sub1\Yawn\482.jpg,data\processed\yawn\Sub1_482.png,Sub1,yawn,train
data\raw\Sub3\Happy\3575.jpg,data\processed\happy\Sub3_3575.png,Sub3,happy,train
data\raw\Sub1\Eyeclose\205.jpg,data\processed\eyeclose\Sub1_205.png,Sub1,eyeclose,train
data\raw\Sub2\Happy\1468.jpg,data\processed\happy\Sub2_1468.png,Sub2,happy,train
data\raw\Sub2\Eyeclose\1690.jpg,data\processed\eyeclose\Sub2_1690.png,Sub2,eyeclose,train
data\raw\Sub2\Eyeclose\1786.jpg,data\processed\eyeclose\Sub2_1786.png,Sub2,eyeclose,train
data\raw\Sub3\Eyeclose\3488.jpg,data\processed\eyeclose\Sub3_3488.png,Sub3,eyeclose,train
data\raw\Sub1\Neutral\57.jpg,data\processed\neutral\Sub1_57.png,Sub1,neutral,train
data\raw\Sub2\Happy\1448.jpg,data\processed\happy\Sub2_1448.png,Sub2,happy,train
data\raw\Sub2\Yawn\1341.jpg,data\processed\yawn\Sub2_1341.png,Sub2,yawn,train
data\raw\Sub2\Eyeclose\1110.jpg,data\processed\eyeclose\Sub2_1110.png,Sub2,eyeclose,train
data\raw\Sub2\Eyeclose\1197.jpg,data\processed\eyeclose\Sub2_1197.png,Sub2,eyeclose,train
data\raw\Sub2\Neutral\994.jpg,data\processed\neutral\Sub2_994.png,Sub2,neutral,train
data\raw\Sub2\Neutral\945.jpg,data\processed\neutral\Sub2_945.png,Sub2,neutral,train
data\raw\Sub2\Neutral\1008.jpg,data\processed\neutral\Sub2_1008.png,Sub2,neutral,train
data\raw\Sub3\Yawn\3706.jpg,data\processed\yawn\Sub3_3706.png,Sub3,yawn,train
data\raw\Sub2\Eyeclose\1146.jpg,data\processed\eyeclose\Sub2_1146.png,Sub2,eyeclose,train
data\raw\Sub2\Yawn\1342.jpg,data\processed\yawn\Sub2_1342.png,Sub2,yawn,train
data\raw\Sub3\Eyeclose\3523.jpg,data\processed\eyeclose\Sub3_3523.png,Sub3,eyeclose,train
data\raw\Sub1\Neutral\158.jpg,data\processed\neutral\Sub1_158.png,Sub1,neutral,train
data\raw\Sub2\Eyeclose\1112.jpg,data\processed\eyeclose\Sub2_1112.png,Sub2,eyeclose,train
data\raw\Sub2\Neutral\997.jpg,data\processed\neutral\Sub2_997.png,Sub2,neutral,train
data\raw\Sub3\Neutral\2881.jpg,data\processed\neutral\Sub3_2881.png,Sub3,neutral,train
data\raw\Sub2\Happy\1459.jpg,data\processed\happy\Sub2_1459.png,Sub2,happy,train
data\raw\Sub2\Neutral\953.jpg,data\processed\neutral\Sub2_953.png,Sub2,neutral,train
data\raw\Sub2\Eyeclose\1623.jpg,data\processed\eyeclose\Sub2_1623.png,Sub2,eyeclose,train
data\raw\Sub3\Eyeclose\3498.jpg,data\processed\eyeclose\Sub3_3498.png,Sub3,eyeclose,train
data\raw\Sub2\Eyeclose\1167.jpg,data\processed\eyeclose\Sub2_1167.png,Sub2,eyeclose,train
data\raw\Sub1\Neutral\84.jpg,data\processed\neutral\Sub1_84.png,Sub1,neutral,train
data\raw\Sub1\Eyeclose\363.jpg,data\processed\eyeclose\Sub1_363.png,Sub1,eyeclose,train
data\raw\Sub2\Eyeclose\1104.jpg,data\processed\eyeclose\Sub2_1104.png,Sub2,eyeclose,train
data\raw\Sub2\Eyeclose\1186.jpg,data\processed\eyeclose\Sub2_1186.png,Sub2,eyeclose,train
data\raw\Sub2\Eyeclose\1726.jpg,data\processed\eyeclose\Sub2_1726.png,Sub2,eyeclose,train
data\raw\Sub3\Neutral\2863.jpg,data\processed\neutral\Sub3_2863.png,Sub3,neutral,train
data\raw\Sub3\Eyeclose\3506.jpg,data\processed\eyeclose\Sub3_3506.png,Sub3,eyeclose,train
data\raw\Sub2\Neutral\986.jpg,data\processed\neutral\Sub2_986.png,Sub2,neutral,train
data\raw\Sub2\Eyeclose\1129.jpg,data\processed\eyeclose\Sub2_1129.png,Sub2,eyeclose,train
data\raw\Sub2\Neutral\933.jpg,data\processed\neutral\Sub2_933.png,Sub2,neutral,train
data\raw\Sub2\Neutral\980.jpg,data\processed\neutral\Sub2_980.png,Sub2,neutral,train
data\raw\Sub3\Yawn\3711.jpg,data\processed\yawn\Sub3_3711.png,Sub3,yawn,train
data\raw\Sub2\Eyeclose\1154.jpg,data\processed\eyeclose\Sub2_1154.png,Sub2,eyeclose,train
data\raw\Sub1\Yawn\454.jpg,data\processed\yawn\Sub1_454.png,Sub1,yawn,train
data\raw\Sub2\Happy\1434.jpg,data\processed\happy\Sub2_1434.png,Sub2,happy,train
data\raw\Sub2\Eyeclose\1094.jpg,data\processed\eyeclose\Sub2_1094.png,Sub2,eyeclose,train
data\raw\Sub2\Eyeclose\1092.jpg,data\processed\eyeclose\Sub2_1092.png,Sub2,eyeclose,train
data\raw\Sub2\Eyeclose\1735.jpg,data\processed\eyeclose\Sub2_1735.png,Sub2,eyeclose,train
data\raw\Sub3\Eyeclose\3487.jpg,data\processed\eyeclose\Sub3_3487.png,Sub3,eyeclose,train
data\raw\Sub1\Neutral\162.jpg,data\processed\neutral\Sub1_162.png,Sub1,neutral,train
data\raw\Sub2\Neutral\1000.jpg,data\processed\neutral\Sub2_1000.png,Sub2,neutral,train
data\raw\Sub3\Yawn\3207.jpg,data\processed\yawn\Sub3_3207.png,Sub3,yawn,train
data\raw\Sub3\Eyeclose\2943.jpg,data\processed\eyeclose\Sub3_2943.png,Sub3,eyeclose,train
data\raw\Sub2\Eyeclose\1681.jpg,data\processed\eyeclose\Sub2_1681.png,Sub2,eyeclose,train
data\raw\Sub3\Neutral\2889.jpg,data\processed\neutral\Sub3_2889.png,Sub3,neutral,train
data\raw\Sub2\Neutral\930.jpg,data\processed\neutral\Sub2_930.png,Sub2,neutral,train
data\raw\Sub1\Eyeclose\212.jpg,data\processed\eyeclose\Sub1_212.png,Sub1,eyeclose,train
data\raw\Sub1\Eyeclose\219.jpg,data\processed\eyeclose\Sub1_219.png,Sub1,eyeclose,train
data\raw\Sub3\Neutral\2885.jpg,data\processed\neutral\Sub3_2885.png,Sub3,neutral,train
data\raw\Sub2\Yawn\1346.jpg,data\processed\yawn\Sub2_1346.png,Sub2,yawn,train
data\raw\Sub3\Happy\3554.jpg,data\processed\happy\Sub3_3554.png,Sub3,happy,train
data\raw\Sub2\Neutral\961.jpg,data\processed\neutral\Sub2_961.png,Sub2,neutral,train
data\raw\Sub2\Happy\1432.jpg,data\processed\happy\Sub2_1432.png,Sub2,happy,train
data\raw\Sub3\Happy\3544.jpg,data\processed\happy\Sub3_3544.png,Sub3,happy,train
data\raw\Sub2\Yawn\1332.jpg,data\processed\yawn\Sub2_1332.png,Sub2,yawn,train
data\raw\Sub3\Neutral\2861.jpg,data\processed\neutral\Sub3_2861.png,Sub3,neutral,train
data\raw\Sub2\Eyeclose\1179.jpg,data\processed\eyeclose\Sub2_1179.png,Sub2,eyeclose,train
data\raw\Sub3\Eyeclose\3433.jpg,data\processed\eyeclose\Sub3_3433.png,Sub3,eyeclose,train
data\raw\Sub1\Neutral\170.jpg,data\processed\neutral\Sub1_170.png,Sub1,neutral,train
data\raw\Sub1\Neutral\54.jpg,data\processed\neutral\Sub1_54.png,Sub1,neutral,train
data\raw\Sub1\Eyeclose\801.jpg,data\processed\eyeclose\Sub1_801.png,Sub1,eyeclose,train
data\raw\Sub3\Yawn\3198.jpg,data\processed\yawn\Sub3_3198.png,Sub3,yawn,train
data\raw\Sub1\Neutral\131.jpg,data\processed\neutral\Sub1_131.png,Sub1,neutral,train
data\raw\Sub2\Neutral\998.jpg,data\processed\neutral\Sub2_998.png,Sub2,neutral,train
data\raw\Sub1\Neutral\101.jpg,data\processed\neutral\Sub1_101.png,Sub1,neutral,train
data\raw\Sub2\Eyeclose\1657.jpg,data\processed\eyeclose\Sub2_1657.png,Sub2,eyeclose,train
data\raw\Sub1\Eyeclose\329.jpg,data\processed\eyeclose\Sub1_329.png,Sub1,eyeclose,train
data\raw\Sub2\Happy\1452.jpg,data\processed\happy\Sub2_1452.png,Sub2,happy,train
data\raw\Sub3\Happy\3565.jpg,data\processed\happy\Sub3_3565.png,Sub3,happy,train
data\raw\Sub1\Eyeclose\361.jpg,data\processed\eyeclose\Sub1_361.png,Sub1,eyeclose,train
data\raw\Sub1\Neutral\87.jpg,data\processed\neutral\Sub1_87.png,Sub1,neutral,train
data\raw\Sub2\Neutral\1544.jpg,data\processed\neutral\Sub2_1544.png,Sub2,neutral,train
data\raw\Sub3\Neutral\2866.jpg,data\processed\neutral\Sub3_2866.png,Sub3,neutral,train
data\raw\Sub1\Yawn\495.jpg,data\processed\yawn\Sub1_495.png,Sub1,yawn,train
data\raw\Sub2\Eyeclose\1119.jpg,data\processed\eyeclose\Sub2_1119.png,Sub2,eyeclose,train
data\raw\Sub3\Eyeclose\3449.jpg,data\processed\eyeclose\Sub3_3449.png,Sub3,eyeclose,train
data\raw\Sub3\Happy\3559.jpg,data\processed\happy\Sub3_3559.png,Sub3,happy,train
data\raw\Sub3\Eyeclose\3499.jpg,data\processed\eyeclose\Sub3_3499.png,Sub3,eyeclose,train
data\raw\Sub1\Neutral\43.jpg,data\processed\neutral\Sub1_43.png,Sub1,neutral,train
data\raw\Sub1\Yawn\499.jpg,data\processed\yawn\Sub1_499.png,Sub1,yawn,train
data\raw\Sub2\Happy\1426.jpg,data\processed\happy\Sub2_1426.png,Sub2,happy,train
data\raw\Sub2\Eyeclose\1783.jpg,data\processed\eyeclose\Sub2_1783.png,Sub2,eyeclose,train
data\raw\Sub2\Eyeclose\1624.jpg,data\processed\eyeclose\Sub2_1624.png,Sub2,eyeclose,train
data\raw\Sub2\Eyeclose\1600.jpg,data\processed\eyeclose\Sub2_1600.png,Sub2,eyeclose,train
data\raw\Sub3\Eyeclose\3503.jpg,data\processed\eyeclose\Sub3_3503.png,Sub3,eyeclose,train
data\raw\Sub2\Eyeclose\1114.jpg,data\processed\eyeclose\Sub2_1114.png,Sub2,eyeclose,train
data\raw\Sub3\Eyeclose\3465.jpg,data\processed\eyeclose\Sub3_3465.png,Sub3,eyeclose,train
data\raw\Sub2\Neutral\955.jpg,data\processed\neutral\Sub2_955.png,Sub2,neutral,train
data\raw\Sub3\Yawn\3197.jpg,data\processed\yawn\Sub3_3197.png,Sub3,yawn,train
data\raw\Sub1\Eyeclose\197.jpg,data\processed\eyeclose\Sub1_197.png,Sub1,eyeclose,train
data\raw\Sub2\Happy\1495.jpg,data\processed\happy\Sub2_1495.png,Sub2,happy,train
data\raw\Sub1\Yawn\460.jpg,data\processed\yawn\Sub1_460.png,Sub1,yawn,train
data\raw\Sub1\Neutral\149.jpg,data\processed\neutral\Sub1_149.png,Sub1,neutral,train
data\raw\Sub1\Eyeclose\340.jpg,data\processed\eyeclose\Sub1_340.png,Sub1,eyeclose,train
data\raw\Sub2\Eyeclose\1757.jpg,data\processed\eyeclose\Sub2_1757.png,Sub2,eyeclose,train
data\raw\Sub2\Neutral\978.jpg,data\processed\neutral\Sub2_978.png,Sub2,neutral,train
data\raw\Sub3\Eyeclose\3428.jpg,data\processed\eyeclose\Sub3_3428.png,Sub3,eyeclose,train
data\raw\Sub3\Neutral\2820.jpg,data\processed\neutral\Sub3_2820.png,Sub3,neutral,train
data\raw\Sub3\Happy\3549.jpg,data\processed\happy\Sub3_3549.png,Sub3,happy,train
data\raw\Sub2\Happy\1465.jpg,data\processed\happy\Sub2_1465.png,Sub2,happy,train
data\raw\Sub1\Yawn\453.jpg,data\processed\yawn\Sub1_453.png,Sub1,yawn,train
data\raw\Sub2\Eyeclose\1652.jpg,data\processed\eyeclose\Sub2_1652.png,Sub2,eyeclose,train
data\raw\Sub1\Eyeclose\338.jpg,data\processed\eyeclose\Sub1_338.png,Sub1,eyeclose,train
data\raw\Sub2\Eyeclose\1626.jpg,data\processed\eyeclose\Sub2_1626.png,Sub2,eyeclose,train
data\raw\Sub2\Neutral\999.jpg,data\processed\neutral\Sub2_999.png,Sub2,neutral,train
data\raw\Sub2\Happy\1445.jpg,data\processed\happy\Sub2_1445.png,Sub2,happy,train
data\raw\Sub2\Happy\1450.jpg,data\processed\happy\Sub2_1450.png,Sub2,happy,train
data\raw\Sub3\Happy\3553.jpg,data\processed\happy\Sub3_3553.png,Sub3,happy,train
data\raw\Sub2\Eyeclose\1195.jpg,data\processed\eyeclose\Sub2_1195.png,Sub2,eyeclose,train
data\raw\Sub1\Yawn\497.jpg,data\processed\yawn\Sub1_497.png,Sub1,yawn,train
data\raw\Sub2\Happy\1463.jpg,data\processed\happy\Sub2_1463.png,Sub2,happy,train
data\raw\Sub3\Neutral\2900.jpg,data\processed\neutral\Sub3_2900.png,Sub3,neutral,train
